,Time-s,MFM-sig,MFM-flow
06.02.2023 ; 15:40:38,964,2328,3.637251
06.02.2023 ; 15:40:40,966,2324,3.630704
06.02.2023 ; 15:40:42,968,2326,3.633747
06.02.2023 ; 15:40:44,970,2330,3.64135
06.02.2023 ; 15:40:46,972,2319,3.623331
06.02.2023 ; 15:40:48,974,2325,3.633144
06.02.2023 ; 15:40:50,976,2320,3.624394
06.02.2023 ; 15:40:52,978,2321,3.625838
06.02.2023 ; 15:40:54,980,2328,3.637417
06.02.2023 ; 15:40:56,982,2314,3.615841
06.02.2023 ; 15:40:58,984,2327,3.635855
06.02.2023 ; 15:41:00,986,2322,3.628507
06.02.2023 ; 15:41:02,988,2309,3.607482
06.02.2023 ; 15:41:04,990,2310,3.609758
06.02.2023 ; 15:41:06,992,2319,3.623106
06.02.2023 ; 15:41:08,994,2324,3.630505
06.02.2023 ; 15:41:10,996,2320,3.625237
06.02.2023 ; 15:41:12,998,2313,3.613775
06.02.2023 ; 15:41:14,1000,2318,3.621653
06.02.2023 ; 15:41:16,1002,2307,3.604579
06.02.2023 ; 15:41:18,1004,2324,3.631991
06.02.2023 ; 15:41:20,1006,2342,3.658761
06.02.2023 ; 15:41:22,1008,2395,3.742779
06.02.2023 ; 15:41:24,1010,2284,3.568174
06.02.2023 ; 15:41:26,1012,2327,3.636703
06.02.2023 ; 15:41:28,1014,2323,3.628993
06.02.2023 ; 15:41:30,1016,2324,3.631392
06.02.2023 ; 15:41:32,1018,2319,3.623151
06.02.2023 ; 15:41:34,1020,2317,3.619577
06.02.2023 ; 15:41:36,1022,2317,3.620153
06.02.2023 ; 15:41:38,1024,2321,3.626967
06.02.2023 ; 15:41:40,1026,2312,3.612972
06.02.2023 ; 15:41:42,1028,2314,3.615955
06.02.2023 ; 15:41:44,1030,2521,3.939023
06.02.2023 ; 15:41:46,1032,2462,3.84757
06.02.2023 ; 15:41:48,1034,2341,3.658513
06.02.2023 ; 15:41:50,1036,2336,3.65038
06.02.2023 ; 15:41:52,1038,2321,3.62626
06.02.2023 ; 15:41:54,1040,2308,3.605533
06.02.2023 ; 15:41:56,1042,2313,3.613306
06.02.2023 ; 15:41:58,1044,2314,3.615613
06.02.2023 ; 15:42:00,1046,2258,3.5274
06.02.2023 ; 15:42:02,1048,3396,5.30684
06.02.2023 ; 15:42:04,1050,2572,4.019472
06.02.2023 ; 15:42:06,1052,2421,3.783551
06.02.2023 ; 15:42:08,1054,2376,3.712276
06.02.2023 ; 15:42:10,1056,2343,3.660825
06.02.2023 ; 15:42:12,1058,2345,3.664052
06.02.2023 ; 15:42:14,1060,2326,3.633976
06.02.2023 ; 15:42:16,1062,2316,3.61906
06.02.2023 ; 15:42:18,1064,2311,3.611563
06.02.2023 ; 15:42:20,1066,2318,3.621563
06.02.2023 ; 15:42:22,1068,2308,3.606018
06.02.2023 ; 15:42:24,1070,2309,3.607512
06.02.2023 ; 15:42:26,1072,2308,3.606546
06.02.2023 ; 15:42:28,1074,2306,3.603313
06.02.2023 ; 15:42:30,1076,2310,3.609389
06.02.2023 ; 15:42:32,1078,2307,3.604753
06.02.2023 ; 15:42:34,1080,2313,3.614689
06.02.2023 ; 15:42:36,1082,2311,3.610573
06.02.2023 ; 15:42:38,1084,2306,3.604126
06.02.2023 ; 15:42:40,1086,2311,3.610928
06.02.2023 ; 15:42:42,1088,2312,3.612778
06.02.2023 ; 15:42:44,1090,2313,3.613939
06.02.2023 ; 15:42:46,1092,2313,3.613281
06.02.2023 ; 15:42:48,1094,2315,3.616742
06.02.2023 ; 15:42:50,1096,2323,3.629206
06.02.2023 ; 15:42:52,1098,2316,3.618085
06.02.2023 ; 15:42:54,1100,2311,3.611503
06.02.2023 ; 15:42:56,1102,2310,3.609541
06.02.2023 ; 15:42:58,1104,2311,3.610874
06.02.2023 ; 15:43:00,1106,2306,3.602751
06.02.2023 ; 15:43:02,1108,2308,3.606652
06.02.2023 ; 15:43:04,1110,2307,3.605026
06.02.2023 ; 15:43:06,1112,2302,3.596427
06.02.2023 ; 15:43:08,1114,2305,3.601437
06.02.2023 ; 15:43:10,1116,2303,3.597727
06.02.2023 ; 15:43:12,1118,2303,3.598504
06.02.2023 ; 15:43:14,1120,2307,3.605091
06.02.2023 ; 15:43:16,1122,2304,3.600576
06.02.2023 ; 15:43:18,1124,2308,3.60605
06.02.2023 ; 15:43:20,1126,2305,3.601387
06.02.2023 ; 15:43:22,1128,2312,3.61283
06.02.2023 ; 15:43:24,1130,2307,3.604801
06.02.2023 ; 15:43:26,1132,2308,3.606312
06.02.2023 ; 15:43:28,1134,2308,3.605779
06.02.2023 ; 15:43:30,1136,2310,3.610267
06.02.2023 ; 15:43:32,1138,2308,3.606893
06.02.2023 ; 15:43:34,1140,2309,3.6085
06.02.2023 ; 15:43:36,1142,2313,3.613319
06.02.2023 ; 15:43:38,1144,2310,3.609326
06.02.2023 ; 15:43:40,1146,2313,3.614757
06.02.2023 ; 15:43:42,1148,2303,3.598213
06.02.2023 ; 15:43:44,1150,2310,3.609176
06.02.2023 ; 15:43:46,1152,2315,3.616551
06.02.2023 ; 15:43:48,1154,2306,3.603743
06.02.2023 ; 15:43:50,1156,2305,3.60231
